nr,label_de,label_en,facet_Diagnostica_2013,facet_PAID_2009,comment
1,Ich bin offen für die Erfahrung des Augenblicks.,I am open to the experience of the present moment.,Presence,Presence,
2,"Ich spüre in meinen Körper hinein, sei es beim Essen, Kochen, Putzen, Reden.","I sense my body, whether eating, cooking, cleaning or talking.",Presence,Presence,
3,"Wenn ich merke, dass ich abwesend war, kehre ich sanft zur Erfahrung des Augenblicks zurück.","When I notice an absence of mind, I gently return to the experience of the here and now.",Presence,Presence,
4,Ich kann mich selbst wertschätzen.,I am able to appreciate myself.,Acceptance,Acceptance,
5,Ich achte auf die Motive meiner Handlungen.,I pay attention to what’s behind my actions.,Presence,Presence,
6,"Ich sehe meine Fehler und Schwierigkeiten, ohne mich zu verurteilen.",I see my mistakes and difficulties without judging them.,Acceptance,Acceptance,
7,"Ich bin in Kontakt mit meinen Erfahrungen, hier und jetzt.",I feel connected to my experience in the here-and-now.,Presence,Presence,
8,Ich nehme unangenehme Erfahrungen an.,I accept unpleasant experiences.,Acceptance,Acceptance,
9,"Ich bin mir selbst gegenüber freundlich, wenn Dinge schief laufen.",I am friendly to myself when things go wrong.,Acceptance,Acceptance,
10,"Ich beobachte meine Gefühle, ohne mich in ihnen zu verlieren.",I watch my feelings without gelng lost in them.,Acceptance,Presence,This item was matched to difference facets in different analyses
11,In schwierigen Situationen kann ich innehalten.,"In diﬃcult situations, I can pause without immediately reacting.",Acceptance,Acceptance,
12,"Ich erlebe Momente innerer Ruhe und Gelassenheit, selbst wenn äußerlich Schmerzen und Unruhe da sind.","I experience moments of inner peace and ease, even when things get hectic and stressful.",Acceptance,Acceptance,
13,Ich bin ungeduldig mit mir und meinen Mitmenschen.,I am impatient with myself and with others.,Acceptance,Acceptance,negatively poled; not part of FMI13
14,"Ich kann darüber lächeln, wenn ich sehe, wie ich mir manchmal das Leben schwer mache.",4 I am able to smile when I notice how I sometimes make life diﬃcult.,Acceptance,Acceptance,